question,answer,guess,label
hailed,acclaimed,remembered,wrong
principal,major,major,correct
wildly,furiously,furiously,correct
sustained,prolonged,prolonged,correct
hind,rear,rear,correct
bigger,larger,larger,correct
unmatched,unequaled,unequaled,correct
figure,solve,solve,correct
urgently,desperately,desperately,correct
make,earn,earn,correct
furnish,supply,impress,wrong
hastily,hurriedly,hurriedly,correct
marketed,sold,sold,correct
discrepancies,differences,differences,correct
hasten,accelerate,accelerate,correct
roots,origins,origins,correct
built,constructed,constructed,correct
levied,imposed,imposed,correct
prominent,conspicuous,conspicuous,correct
concisely,succinctly,succinctly,correct
